,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,actual_savings,savings_goal_met,budget_variance
emergency_fund,-0.019389057175740933,0.015036583710108001,0.005241286400668551,0.025650021813789853,-0.012099911768322029,0.01928690388148307,-0.02229462899587067,0.00570594822410148,-0.040184138153043954,0.006113583834052189,1.0,0.008301969060036342,-0.04672243506778024,0.03454493963257796,-0.003747763576452787,-0.011055498674309138,-0.004609152428152004,0.009431426243139864,0.018025928651244232,-0.010665243772786234
transaction_count,-0.02010503508775452,0.027642641801597048,0.013037866988359726,-0.0007434712598386181,0.005329673383431763,-0.022333996411594722,0.02496387813591467,0.010258242175790043,0.012399862386464205,0.0014532302873265835,0.008301969060036342,1.0,-0.014485933729346905,0.009316833379271066,0.013464591839126908,-0.002868496117513666,0.01596669335934318,0.007946424248824524,-0.0074588449474569255,-0.008236081376400414
fraud_flag,-0.011537543262662656,-0.02383258413260755,0.04498726078526484,-0.00862139037865365,0.006510651755153513,-0.01907378546424604,-0.006313989172528064,0.02989027322633783,0.002878827256427046,0.04008077027189845,-0.04672243506778024,-0.014485933729346905,1.0,-0.014207650975400088,0.025224771040516337,-0.0028893489497964814,0.01728572861530657,-0.05844101223094401,-0.026933309992475327,-0.034552772514576335
discretionary_spending,0.006680383034107053,-0.01186675534285758,-0.007343540669592376,-0.03365881877652428,-0.001726935588461272,0.025162832867456596,-0.01253090745576872,-0.023877717860085405,0.026615303390766027,-0.0005564310372722015,0.03454493963257796,0.009316833379271066,-0.014207650975400088,1.0,-0.01799962092542909,0.018093193867963573,-0.025590614769816354,-0.005647149923578311,0.008879007824782587,0.0052973066565963345
essential_spending,0.005387641086516234,-0.01411848076195459,0.0030113015897307383,0.008292755901786809,-0.000409565893481675,-0.008617454297043591,-0.02689533478619065,0.00792279510343035,-0.011257884086863078,-0.003981574877175835,-0.003747763576452787,0.013464591839126908,0.025224771040516337,-0.01799962092542909,1.0,0.011503191578415057,0.008256907510088392,-0.00827561328323879,0.0032723974493322453,-0.002749368348840096
rent_or_mortgage,-0.007778388734743445,-0.013633796105476433,0.02634315588392863,0.014865407258805722,0.024765392825337525,0.020330779976154928,-0.017233570453061144,-0.019200529929831157,0.007032349717962534,0.0030007143025581056,-0.011055498674309138,-0.002868496117513666,-0.0028893489497964814,0.018093193867963573,0.011503191578415057,1.0,0.0064840758087536116,-0.01437987996756816,-0.027896905399175043,-0.009413686177206206
financial_advice_score,-0.0060577982559178135,0.015544321512504589,0.00443975331388196,0.01044017565536782,0.0008036743397350164,0.0017593719118949903,-0.017492460420406527,-0.012443723793145189,-0.009451593163141068,-0.012374214031587298,-0.004609152428152004,0.01596669335934318,0.01728572861530657,-0.025590614769816354,0.008256907510088392,0.0064840758087536116,1.0,0.00503037648765866,-0.020425524810995868,-0.0033267739266077895
actual_savings,0.005764754836828392,0.741387977693149,-0.5996794461774996,0.004968164039162821,0.0011848140287226401,-0.008432165022168342,0.004431700711838322,-0.006557038093504109,-0.022188591148184993,-0.007658447669828829,0.009431426243139864,0.007946424248824524,-0.05844101223094401,-0.005647149923578311,-0.00827561328323879,-0.01437987996756816,0.00503037648765866,1.0,0.6053329258478548,0.5060133159083604
savings_goal_met,0.03087669504570125,0.4355122588745326,-0.3070656197178689,-0.01332396918329629,-0.21699623110451563,0.002330953103481712,0.006216787847286007,-0.01100250390441857,-0.009729679830528911,-0.013081789043490962,0.018025928651244232,-0.0074588449474569255,-0.026933309992475327,0.008879007824782587,0.0032723974493322453,-0.027896905399175043,-0.020425524810995868,0.6053329258478548,1.0,0.14674157792114703
budget_variance,-0.009127382741050113,-0.009931787303261365,-0.856478592709612,-0.006632600414114732,0.5387123347811729,0.0010754813701778156,0.012829989467354055,-0.014763054019988914,0.02611018413310464,-0.01676589390044792,-0.010665243772786234,-0.008236081376400414,-0.034552772514576335,0.0052973066565963345,-0.002749368348840096,-0.009413686177206206,-0.0033267739266077895,0.5060133159083604,0.14674157792114703,1.0
